priority,loss,borough,station_complex,Longitude,Latitude
Core,0,bronx,"138 St-Grand Concourse (4,5)",-73.929849,40.813224
Core,0,bronx,"149 St-Grand Concourse (2,4,5)",-73.927351,40.818375
Core,1940.896986,bronx,"161 St-Yankee Stadium (B,D,4)",-73.925651,40.827905
Core,0,bronx,167 St (4),-73.91844,40.833771
Core,0,bronx,"167 St (B,D)",-73.91844,40.833771
Core,0,bronx,170 St (4),-73.9134,40.839306
Core,0,bronx,"170 St (B,D)",-73.9134,40.839306
Core,0,bronx,"174 St (2,5)",-73.887734,40.837288
Core,0,bronx,"174-175 Sts (B,D)",-73.910136,40.8459
Core,0,bronx,176 St (4),-73.911794,40.84848
Core,0,bronx,"182-183 Sts (B,D)",-73.900741,40.856093
Core,0,bronx,183 St (4),-73.903879,40.858407
Core,0,bronx,"219 St (2,5)",-73.862633,40.883895
Secondary,0,bronx,"225 St (2,5)",-73.860341,40.888022
Secondary,0,bronx,231 St (1),-73.904834,40.878856
Secondary,0,bronx,"233 St (2,5)",-73.857473,40.893193
Core,0,bronx,238 St (1),-73.90087,40.884667
Core,0,bronx,3 Av-138 St (6),-73.926138,40.810476
Core,0,bronx,"3 Av-149 St (2,5)",-73.917757,40.816109
Core,0,bronx,"Allerton Av (2,5)",-73.867352,40.865462
Stable,0,bronx,Baychester Av (5),-73.838591,40.878663
Core,0,bronx,"Bedford Park Blvd (B,D)",-73.887138,40.873244
Stable,0,bronx,Bedford Park Blvd-Lehman College (4),-73.890064,40.873412
Core,0,bronx,"Bronx Park East (2,5)",-73.868457,40.848828
Stable,0,bronx,Brook Av (6),-73.91924,40.807566
Secondary,0,bronx,Buhre Av (6),-73.832569,40.84681
Secondary,0,bronx,"Burke Av (2,5)",-73.867164,40.871356
Stable,0,bronx,Burnside Av (4),-73.907684,40.853453
Core,0,bronx,Castle Hill Av (6),-73.851222,40.834255
Stable,0,bronx,Cypress Av (6),-73.914042,40.805368
Core,0,bronx,E 143 St-St Mary's St (6),-73.907657,40.808719
Core,0,bronx,E 149 St (6),-73.904098,40.812118
Core,0,bronx,"E 180 St (2,5)",-73.873488,40.841894
Stable,0,bronx,Eastchester-Dyre Av (5),-73.830834,40.8883
Core,0,bronx,Elder Av (6),-73.879159,40.828584
Core,0,bronx,Fordham Rd (4),-73.897749,40.861296
Core,0,bronx,"Fordham Rd (B,D)",-73.897749,40.861296
